iter	Passed	Remaining
822	10520	2262
823	10533	2249
824	10545	2236
825	10558	2224
826	10571	2211
827	10585	2198
828	10598	2186
829	10611	2173
830	10625	2160
831	10637	2147
832	10649	2135
833	10662	2122
834	10675	2109
835	10689	2096
836	10702	2084
837	10715	2071
838	10728	2058
839	10741	2046
840	10754	2033
841	10766	2020
842	10779	2007
843	10791	1994
844	10804	1981
845	10818	1969
846	10832	1956
847	10845	1944
848	10858	1931
849	10871	1918
850	10885	1905
851	10898	1893
852	10911	1880
853	10923	1867
854	10936	1854
855	10948	1841
856	10959	1828
857	10973	1816
858	10985	1803
859	10998	1790
860	11011	1777
861	11024	1764
862	11036	1751
863	11049	1739
864	11063	1726
865	11073	1713
866	11085	1700
867	11099	1687
868	11111	1675
869	11123	1662
870	11137	1649
871	11151	1636
872	11164	1624
873	11176	1611
874	11188	1598
875	11200	1585
876	11213	1572
877	11225	1559
878	11237	1546
879	11251	1534
880	11262	1521
881	11275	1508
882	11289	1495
883	11303	1483
884	11317	1470
885	11330	1457
886	11343	1445
887	11355	1432
888	11369	1419
889	11381	1406
890	11394	1393
891	11406	1381
892	11417	1368
893	11430	1355
894	11442	1342
895	11456	1329
896	11469	1317
897	11482	1304
898	11496	1291
899	11509	1278
900	11521	1265
901	11534	1253
902	11548	1240
903	11560	1227
904	11573	1214
905	11585	1202
906	11598	1189
907	11610	1176
908	11624	1163
909	11638	1151
910	11650	1138
911	11663	1125
912	11676	1112
913	11690	1099
914	11703	1087
915	11717	1074
916	11730	1061
917	11742	1048
918	11756	1036
919	11768	1023
920	11780	1010
921	11793	997
922	11807	985
923	11820	972
924	11833	959
925	11847	946
926	11861	934
927	11876	921
928	11889	908
929	11902	895
930	11915	883
931	11928	870
932	11942	857
933	11954	844
934	11967	831
935	11978	819
936	11992	806
937	12005	793
938	12019	780
939	12033	768
940	12045	755
941	12059	742
942	12072	729
943	12085	716
944	12098	704
945	12110	691
946	12123	678
947	12137	665
948	12151	653
949	12164	640
950	12176	627
951	12190	614
952	12203	601
953	12217	589
954	12230	576
955	12243	563
956	12256	550
957	12270	537
958	12283	525
959	12295	512
960	12308	499
961	12322	486
962	12336	473
963	12348	461
964	12361	448
965	12374	435
966	12386	422
967	12399	409
968	12411	397
969	12425	384
970	12438	371
971	12450	358
972	12463	345
973	12474	333
974	12487	320
975	12501	307
976	12514	294
977	12526	281
978	12538	268
979	12550	256
980	12563	243
981	12575	230
982	12588	217
983	12601	204
984	12613	192
985	12625	179
986	12638	166
987	12651	153
988	12664	140
989	12675	128
990	12688	115
991	12701	102
992	12713	89
993	12725	76
994	12738	64
995	12750	51
996	12762	38
997	12774	25
998	12786	12
999	12798	0
